"Participant" "Onset" "Determiner" "Agecat" "Age" "OldNew" "variable" "TARGETFIXBIN.m" "yT" "N_T" "elogT"
"220" "P033yo" "Same" "A" "Three" 36 "Y" "1000" 1 3 3 1.94591014905531
"221" "P033yo" "Same" "AN" "Three" 36 "N" "100" 0.2 1 5 -1.09861228866811
"222" "P033yo" "Same" "AN" "Three" 36 "N" "200" 0.4 2 5 -0.336472236621213
"223" "P033yo" "Same" "AN" "Three" 36 "N" "300" 0.4 2 5 -0.336472236621213
"224" "P033yo" "Same" "AN" "Three" 36 "N" "400" 0.6 3 5 0.336472236621213
"225" "P033yo" "Same" "AN" "Three" 36 "N" "500" 0.6 3 5 0.336472236621213
"226" "P033yo" "Same" "AN" "Three" 36 "N" "600" 0.6 3 5 0.336472236621213
"227" "P033yo" "Same" "AN" "Three" 36 "N" "700" 0.6 3 5 0.336472236621213
"228" "P033yo" "Same" "AN" "Three" 36 "N" "800" 0.8 4 5 1.09861228866811
"229" "P033yo" "Same" "AN" "Three" 36 "N" "900" 0.8 4 5 1.09861228866811
"230" "P033yo" "Same" "AN" "Three" 36 "N" "1000" 0.8 4 5 1.09861228866811
"231" "P033yo" "Same" "AN" "Three" 36 "Y" "100" 0.4 2 5 -0.336472236621213
"232" "P033yo" "Same" "AN" "Three" 36 "Y" "200" 0.4 2 5 -0.336472236621213
"233" "P033yo" "Same" "AN" "Three" 36 "Y" "300" 0.4 2 5 -0.336472236621213
"234" "P033yo" "Same" "AN" "Three" 36 "Y" "400" 0.4 2 5 -0.336472236621213
"235" "P033yo" "Same" "AN" "Three" 36 "Y" "500" 0.4 2 5 -0.336472236621213
"236" "P033yo" "Same" "AN" "Three" 36 "Y" "600" 0.6 3 5 0.336472236621213
"237" "P033yo" "Same" "AN" "Three" 36 "Y" "700" 0.6 3 5 0.336472236621213
"238" "P033yo" "Same" "AN" "Three" 36 "Y" "800" 0.6 3 5 0.336472236621213
"239" "P033yo" "Same" "AN" "Three" 36 "Y" "900" 0.8 4 5 1.09861228866811
"240" "P033yo" "Same" "AN" "Three" 36 "Y" "1000" 1 5 5 2.39789527279837
"241" "P0345yo" "Different" "A" "Four-Five" 55 "N" "100" 0 0 5 -2.39789527279837
"242" "P0345yo" "Different" "A" "Four-Five" 55 "N" "200" 0.2 1 5 -1.09861228866811
"243" "P0345yo" "Different" "A" "Four-Five" 55 "N" "300" 0.2 1 5 -1.09861228866811
"244" "P0345yo" "Different" "A" "Four-Five" 55 "N" "400" 0.2 1 5 -1.09861228866811
"245" "P0345yo" "Different" "A" "Four-Five" 55 "N" "500" 0.4 2 5 -0.336472236621213
"246" "P0345yo" "Different" "A" "Four-Five" 55 "N" "600" 0.4 2 5 -0.336472236621213
"247" "P0345yo" "Different" "A" "Four-Five" 55 "N" "700" 0.8 4 5 1.09861228866811
"248" "P0345yo" "Different" "A" "Four-Five" 55 "N" "800" 0.8 4 5 1.09861228866811
"249" "P0345yo" "Different" "A" "Four-Five" 55 "N" "900" 0.8 4 5 1.09861228866811
