"ItemN" "Onset" "Determiner" "Agecat" "OldNew" "variable" "TARGETFIXBIN.m" "yT" "N_T" "elogT"
"276" 4 "Different" "A" "Three" "Y" "600" 0.5 8 16 0
"277" 4 "Different" "A" "Three" "Y" "700" 0.5 8 16 0
"278" 4 "Different" "A" "Three" "Y" "800" 0.6875 11 16 0.737598943130779
"279" 4 "Different" "A" "Three" "Y" "900" 0.75 12 16 1.02165124753198
"280" 4 "Different" "A" "Three" "Y" "1000" 0.875 14 16 1.75785791755237
"281" 4 "Same" "A" "Four-Five" "N" "100" 0.333333333333333 6 18 -0.653926467406664
"282" 4 "Same" "A" "Four-Five" "N" "200" 0.388888888888889 7 18 -0.42744401482694
"283" 4 "Same" "A" "Four-Five" "N" "300" 0.388888888888889 7 18 -0.42744401482694
"284" 4 "Same" "A" "Four-Five" "N" "400" 0.388888888888889 7 18 -0.42744401482694
"285" 4 "Same" "A" "Four-Five" "N" "500" 0.444444444444444 8 18 -0.211309093667207
"286" 4 "Same" "A" "Four-Five" "N" "600" 0.5 9 18 0
"287" 4 "Same" "A" "Four-Five" "N" "700" 0.666666666666667 12 18 0.653926467406664
"288" 4 "Same" "A" "Four-Five" "N" "800" 0.777777777777778 14 18 1.17007125265025
"289" 4 "Same" "A" "Four-Five" "N" "900" 0.833333333333333 15 18 1.48807705542983
"290" 4 "Same" "A" "Four-Five" "N" "1000" 0.777777777777778 14 18 1.17007125265025
"291" 4 "Same" "A" "Four-Five" "Y" "100" 0.529411764705882 9 17 0.111225635110224
"292" 4 "Same" "A" "Four-Five" "Y" "200" 0.529411764705882 9 17 0.111225635110224
"293" 4 "Same" "A" "Four-Five" "Y" "300" 0.470588235294118 8 17 -0.111225635110224
"294" 4 "Same" "A" "Four-Five" "Y" "400" 0.588235294117647 10 17 0.336472236621213
"295" 4 "Same" "A" "Four-Five" "Y" "500" 0.588235294117647 10 17 0.336472236621213
"296" 4 "Same" "A" "Four-Five" "Y" "600" 0.647058823529412 11 17 0.570544858467613
"297" 4 "Same" "A" "Four-Five" "Y" "700" 0.764705882352941 13 17 1.09861228866811
"298" 4 "Same" "A" "Four-Five" "Y" "800" 0.764705882352941 13 17 1.09861228866811
"299" 4 "Same" "A" "Four-Five" "Y" "900" 0.882352941176471 15 17 1.82454929205105
"300" 4 "Same" "A" "Four-Five" "Y" "1000" 0.823529411764706 14 17 1.42138568093116
"301" 4 "Same" "A" "Three" "N" "100" 0.333333333333333 6 18 -0.653926467406664
