"Participant" "TrialN" "ItemN" "Onset" "Determiner" "OldNew" "Agecat" "DO" "FixLoc" "FixationStart" "NOFIX" "DURPOSTDO3" "DISCARDONSET.D" "Perc_Dur" "DiscardTrial" "FixStart.rel" "DC" "DCC" "OC" "OCC" "AC" "ACC" "FixStart.rel.inv"
"P033yo" 27 7 "Different" "A" "N" "Three" 4020 "TARGET" 4540.6 0 1887.4 0 81.3534482758621 0 520.6 0.5 0.49737876802097 0.5 0.450851900393185 -0.5 -0.514416775884666 0.00192086054552439
"P033yo" 29 9 "Same" "AN" "N" "Three" 4020 "TARGET" 6004.3 0 2120 0 91.3793103448276 0 1984.3 -0.5 -0.50262123197903 0.5 0.450851900393185 -0.5 -0.514416775884666 0.000503956055032001
"P033yo" 32 12 "Same" "AN" "N" "Three" 4010 "TARGET" 4873.6 0 1299.8 0 55.7854077253219 0 863.6 -0.5 -0.50262123197903 0.5 0.450851900393185 -0.5 -0.514416775884666 0.00115794349235757
"P033yo" 36 16 "Different" "A" "N" "Three" 4020 "TARGET" 4667.9 0 2086.7 0 89.9439655172414 0 647.9 0.5 0.49737876802097 0.5 0.450851900393185 -0.5 -0.514416775884666 0.00154344806297268
"P033yo" 38 18 "Same" "AN" "Y" "Three" 4020 "TARGET" 4407.1 0 2153.6 0 92.8275862068966 0 387.1 -0.5 -0.50262123197903 -0.5 -0.549148099606815 -0.5 -0.514416775884666 0.00258331180573495
"P0345yo" 5 8 "Different" "AN" "N" "Four-Five" 4010 "TARGET" 4398 0 1962.8 0 84.2403433476395 0 388 0.5 0.49737876802097 0.5 0.450851900393185 0.5 0.485583224115334 0.00257731958762887
"P0345yo" 9 13 "Same" "AN" "N" "Four-Five" 4020 "TARGET" 5319.8 0 1853.5 0 79.8922413793103 0 1299.8 -0.5 -0.50262123197903 0.5 0.450851900393185 0.5 0.485583224115334 0.000769349130635482
"P0345yo" 10 10 "Different" "A" "Y" "Four-Five" 4020 "TARGET" 5905.1 0 2053.4 0 88.5086206896552 0 1885.1 0.5 0.49737876802097 -0.5 -0.549148099606815 0.5 0.485583224115334 0.000530475836825633
"P0345yo" 12 9 "Different" "AN" "Y" "Four-Five" 4020 "TARGET" 4708.5 0 1986.8 0 85.6379310344828 0 688.5 0.5 0.49737876802097 -0.5 -0.549148099606815 0.5 0.485583224115334 0.00145243282498184
"P0345yo" 14 12 "Different" "AN" "Y" "Four-Five" 4010 "TARGET" 4457 0 1963.4 0 84.2660944206009 0 447 0.5 0.49737876802097 -0.5 -0.549148099606815 0.5 0.485583224115334 0.00223713646532438
"P0345yo" 17 17 "Same" "AN" "Y" "Four-Five" 4010 "TARGET" 5356.2 0 1963.3 0 84.2618025751073 0 1346.2 -0.5 -0.50262123197903 -0.5 -0.549148099606815 0.5 0.485583224115334 0.000742831674342594
"P0345yo" 19 4 "Different" "A" "Y" "Four-Five" 4020 "TARGET" 4265 0 1675.1 0 72.2025862068965 0 245 0.5 0.49737876802097 -0.5 -0.549148099606815 0.5 0.485583224115334 0.00408163265306122
"P0345yo" 20 7 "Same" "A" "Y" "Four-Five" 4020 "TARGET" 4353.3 0 1720 0 74.1379310344827 0 333.3 -0.5 -0.50262123197903 -0.5 -0.549148099606815 0.5 0.485583224115334 0.003000300030003
"P0345yo" 23 3 "Different" "AN" "N" "Four-Five" 4010 "TARGET" 5550.6 0 2130 0 91.4163090128755 0 1540.6 0.5 0.49737876802097 0.5 0.450851900393185 0.5 0.485583224115334 0.000649097754121771
"P0345yo" 24 4 "Same" "A" "N" "Four-Five" 4020 "TARGET" 4706.3 0 1920.1 0 82.7629310344828 0 686.3 -0.5 -0.50262123197903 0.5 0.450851900393185 0.5 0.485583224115334 0.00145708873670406
"P0345yo" 26 6 "Same" "A" "Y" "Four-Five" 4020 "TARGET" 4716.1 0 1953.3 0 84.1939655172414 0 696.1 -0.5 -0.50262123197903 -0.5 -0.549148099606815 0.5 0.485583224115334 0.00143657520471197
"P0345yo" 27 7 "Different" "A" "N" "Four-Five" 4020 "TARGET" 5021 0 1901 0 81.9396551724138 0 1001 0.5 0.49737876802097 0.5 0.450851900393185 0.5 0.485583224115334 0.000999000999000999
"P0345yo" 28 8 "Same" "AN" "Y" "Four-Five" 4010 "TARGET" 4424.6 0 1930.1 0 82.8369098712446 0 414.6 -0.5 -0.50262123197903 -0.5 -0.549148099606815 0.5 0.485583224115334 0.00241196333815726
"P0345yo" 29 9 "Same" "AN" "N" "Four-Five" 4020 "TARGET" 4347.1 0 1886.6 0 81.3189655172414 0 327.1 -0.5 -0.50262123197903 0.5 0.450851900393185 0.5 0.485583224115334 0.00305716906144909
"P0345yo" 30 10 "Same" "A" "N" "Four-Five" 4020 "TARGET" 4434.9 0 1914.8 0 82.5344827586207 0 414.9 -0.5 -0.50262123197903 0.5 0.450851900393185 0.5 0.485583224115334 0.00241021932995903
"P0345yo" 34 14 "Same" "A" "Y" "Four-Five" 4020 "TARGET" 4604.1 0 1935.8 0 83.4396551724138 0 584.1 -0.5 -0.50262123197903 -0.5 -0.549148099606815 0.5 0.485583224115334 0.00171203561034069
"P0345yo" 35 15 "Different" "AN" "Y" "Four-Five" 4020 "TARGET" 4459.1 0 2053.5 0 88.5129310344828 0 439.1 0.5 0.49737876802097 -0.5 -0.549148099606815 0.5 0.485583224115334 0.00227738556137554
"P0345yo" 36 16 "Different" "A" "N" "Four-Five" 4020 "TARGET" 5912.4 0 2020.1 0 87.073275862069 0 1892.4 0.5 0.49737876802097 0.5 0.450851900393185 0.5 0.485583224115334 0.000528429507503699
"P0345yo" 37 17 "Different" "AN" "Y" "Four-Five" 4010 "TARGET" 5619.4 0 1830 0 78.5407725321888 0 1609.4 0.5 0.49737876802097 -0.5 -0.549148099606815 0.5 0.485583224115334 0.000621349571268796
"P0345yo" 39 19 "Different" "A" "Y" "Four-Five" 4010 "TARGET" 4429.1 0 1885.6 0 80.9270386266094 0 419.1 0.5 0.49737876802097 -0.5 -0.549148099606815 0.5 0.485583224115334 0.00238606537819136
